,District,Neighborhood,Latitude,Longitude
0,Eixample,L'Antiga Esquerra de l'Eixample,41.38876465,2.156597362161013
1,Eixample,La Nova Esquerra de l'Eixample,41.3828159,2.1499663437362098
2,Eixample,Dreta de l'Eixample,41.39412395,2.166470697643847
3,Eixample,Fort Pienc,41.3959246,2.1823245
4,Eixample,Sagrada Família,41.4034789,2.1744103330097055
5,Eixample,Sant Antoni,41.38057835,2.160101765316341
6,Les Corts,les Corts,41.385244,2.1328626
7,Les Corts,la Maternitat i Sant Ramon,41.381975049999994,2.115473637544033
8,Les Corts,Pedralbes,41.3901401,2.112218
9,Sarrià-Sant Gervasi,El Putget i Farró,41.4074756,2.143283241998689
10,Sarrià-Sant Gervasi,Sarrià,41.399373,2.1215125
11,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,41.4096367,2.1296368239861
12,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39780705,2.143379993225907
13,Sarrià-Sant Gervasi,les Tres Torres,41.3976108,2.1311837
14,Sarrià-Sant Gervasi,Vallvidrera,41.4150674,2.1074824
15,Sarrià-Sant Gervasi,Tibidabo i les Planes,41.41834785,2.102545306300547
16,Gràcia,Vila de Gràcia,41.4031783,2.1571662
17,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.406705650000006,2.1654191419944855
18,Gràcia,la Salut,41.411866,2.1539614
19,Gràcia,el Coll,41.6512892,1.9584116
20,Gràcia,Vallcarca i els Penitents.,41.415712150000004,2.1414692584443396
21,Horta-Guinardó,El Baix Guinardó,41.411440799999994,2.1685096157150996
22,Horta-Guinardó,El Guinardó,41.4177335,2.1736316
23,Horta-Guinardó,Can Baró,41.4169656,2.1626934115256335
24,Horta-Guinardó,El Carmel,41.425591,2.1549587
25,Horta-Guinardó,la Font d'en Fargues,41.424363799999995,2.165319717491786
26,Horta-Guinardó,Horta,41.4330206,2.1590883
27,Horta-Guinardó,la Clota,41.42864605,2.1535200646029855
28,Horta-Guinardó,Montbau,41.4295504,2.1445379
29,Horta-Guinardó,Sant Genís dels Agudells,41.4264567,2.1374905
30,Horta-Guinardó,la Teixonera,41.423173,2.1459698
31,Horta-Guinardó,La Vall d'Hebron.,41.4247893,2.1423174
